wordID,userID,condition,block,score
inhoud,R_1IWRIxws77royEa,C,1,1
inhoud,R_1IWRIxws77royEa,C,2,1
inhoud,R_1IWRIxws77royEa,C,3,0
donderdag,R_1IWRIxws77royEa,C,1,1
donderdag,R_1IWRIxws77royEa,C,2,0
donderdag,R_1IWRIxws77royEa,C,3,1
dinsdag,R_1IWRIxws77royEa,C,1,0
dinsdag,R_1IWRIxws77royEa,C,2,0
dinsdag,R_1IWRIxws77royEa,C,3,1
schoonheidssalon,R_1IWRIxws77royEa,C,1,1
schoonheidssalon,R_1IWRIxws77royEa,C,2,0
schoonheidssalon,R_1IWRIxws77royEa,C,3,0
badkamer,R_1IWRIxws77royEa,C,1,0
badkamer,R_1IWRIxws77royEa,C,2,1
badkamer,R_1IWRIxws77royEa,C,3,0
rest,R_1IWRIxws77royEa,NC,1,0
rest,R_1IWRIxws77royEa,NC,2,0
rest,R_1IWRIxws77royEa,NC,3,0
klimaat,R_1IWRIxws77royEa,NC,1,0
klimaat,R_1IWRIxws77royEa,NC,2,0
klimaat,R_1IWRIxws77royEa,NC,3,1
vuur,R_1IWRIxws77royEa,NC,1,0
vuur,R_1IWRIxws77royEa,NC,2,1
vuur,R_1IWRIxws77royEa,NC,3,1
gebed,R_1IWRIxws77royEa,NC,1,1
gebed,R_1IWRIxws77royEa,NC,2,1
gebed,R_1IWRIxws77royEa,NC,3,1
energie,R_1IWRIxws77royEa,NC,1,0
energie,R_1IWRIxws77royEa,NC,2,0
energie,R_1IWRIxws77royEa,NC,3,0
omstandigheden,R_1IWRIxws77royEa,C,1,0
omstandigheden,R_1IWRIxws77royEa,C,2,0
omstandigheden,R_1IWRIxws77royEa,C,3,1
liefde,R_1IWRIxws77royEa,C,1,1
liefde,R_1IWRIxws77royEa,C,2,0
liefde,R_1IWRIxws77royEa,C,3,0
baas,R_1IWRIxws77royEa,C,1,1
baas,R_1IWRIxws77royEa,C,2,0
baas,R_1IWRIxws77royEa,C,3,0
burgemeester,R_1IWRIxws77royEa,C,1,0
burgemeester,R_1IWRIxws77royEa,C,2,0
burgemeester,R_1IWRIxws77royEa,C,3,0
suiker,R_1IWRIxws77royEa,C,1,1
suiker,R_1IWRIxws77royEa,C,2,0
suiker,R_1IWRIxws77royEa,C,3,1
afbeelding,R_1IWRIxws77royEa,NC,1,0
afbeelding,R_1IWRIxws77royEa,NC,2,1
afbeelding,R_1IWRIxws77royEa,NC,3,1
water,R_1IWRIxws77royEa,NC,1,0
water,R_1IWRIxws77royEa,NC,2,1
water,R_1IWRIxws77royEa,NC,3,0
trein,R_1IWRIxws77royEa,NC,1,1
trein,R_1IWRIxws77royEa,NC,2,0
trein,R_1IWRIxws77royEa,NC,3,0
honing,R_1IWRIxws77royEa,NC,1,1
honing,R_1IWRIxws77royEa,NC,2,0
honing,R_1IWRIxws77royEa,NC,3,1
kans,R_1IWRIxws77royEa,NC,1,0
kans,R_1IWRIxws77royEa,NC,2,0
kans,R_1IWRIxws77royEa,NC,3,1
deur,R_1IWRIxws77royEa,C,1,1
deur,R_1IWRIxws77royEa,C,2,0
deur,R_1IWRIxws77royEa,C,3,0
geluk,R_1IWRIxws77royEa,C,1,1
geluk,R_1IWRIxws77royEa,C,2,0
geluk,R_1IWRIxws77royEa,C,3,0
katoen,R_1IWRIxws77royEa,C,1,0
katoen,R_1IWRIxws77royEa,C,2,1
katoen,R_1IWRIxws77royEa,C,3,1
ogen,R_1IWRIxws77royEa,C,1,0
ogen,R_1IWRIxws77royEa,C,2,1
ogen,R_1IWRIxws77royEa,C,3,1
minuut,R_1IWRIxws77royEa,C,1,0
minuut,R_1IWRIxws77royEa,C,2,0
minuut,R_1IWRIxws77royEa,C,3,1
bericht,R_1IWRIxws77royEa,NC,1,1
bericht,R_1IWRIxws77royEa,NC,2,0
bericht,R_1IWRIxws77royEa,NC,3,0
moeder,R_1IWRIxws77royEa,NC,1,0
moeder,R_1IWRIxws77royEa,NC,2,1
moeder,R_1IWRIxws77royEa,NC,3,0
verwachting,R_1IWRIxws77royEa,NC,1,0
verwachting,R_1IWRIxws77royEa,NC,2,0
verwachting,R_1IWRIxws77royEa,NC,3,0
manier,R_1IWRIxws77royEa,NC,1,0
manier,R_1IWRIxws77royEa,NC,2,0
manier,R_1IWRIxws77royEa,NC,3,0
gras,R_1IWRIxws77royEa,NC,1,1
gras,R_1IWRIxws77royEa,NC,2,1
gras,R_1IWRIxws77royEa,NC,3,1
inhoud,R_1IWRIxws77royEa,C,4,1
inhoud,R_1IWRIxws77royEa,C,5,1
inhoud,R_1IWRIxws77royEa,C,6,1
donderdag,R_1IWRIxws77royEa,C,4,1
donderdag,R_1IWRIxws77royEa,C,5,1
donderdag,R_1IWRIxws77royEa,C,6,1
dinsdag,R_1IWRIxws77royEa,C,4,1
dinsdag,R_1IWRIxws77royEa,C,5,1
dinsdag,R_1IWRIxws77royEa,C,6,1
schoonheidssalon,R_1IWRIxws77royEa,C,4,1
schoonheidssalon,R_1IWRIxws77royEa,C,5,0
schoonheidssalon,R_1IWRIxws77royEa,C,6,0
badkamer,R_1IWRIxws77royEa,C,4,1
badkamer,R_1IWRIxws77royEa,C,5,0
badkamer,R_1IWRIxws77royEa,C,6,1
rest,R_1IWRIxws77royEa,NC,4,0
rest,R_1IWRIxws77royEa,NC,5,1
rest,R_1IWRIxws77royEa,NC,6,0
klimaat,R_1IWRIxws77royEa,NC,4,1
klimaat,R_1IWRIxws77royEa,NC,5,1
klimaat,R_1IWRIxws77royEa,NC,6,1
vuur,R_1IWRIxws77royEa,NC,4,1
vuur,R_1IWRIxws77royEa,NC,5,1
vuur,R_1IWRIxws77royEa,NC,6,1
gebed,R_1IWRIxws77royEa,NC,4,1
gebed,R_1IWRIxws77royEa,NC,5,0
gebed,R_1IWRIxws77royEa,NC,6,1
energie,R_1IWRIxws77royEa,NC,4,0
energie,R_1IWRIxws77royEa,NC,5,0
energie,R_1IWRIxws77royEa,NC,6,0
omstandigheden,R_1IWRIxws77royEa,C,4,0
omstandigheden,R_1IWRIxws77royEa,C,5,1
omstandigheden,R_1IWRIxws77royEa,C,6,0
liefde,R_1IWRIxws77royEa,C,4,1
liefde,R_1IWRIxws77royEa,C,5,0
liefde,R_1IWRIxws77royEa,C,6,0
baas,R_1IWRIxws77royEa,C,4,0
baas,R_1IWRIxws77royEa,C,5,0
baas,R_1IWRIxws77royEa,C,6,0
burgemeester,R_1IWRIxws77royEa,C,4,1
burgemeester,R_1IWRIxws77royEa,C,5,1
burgemeester,R_1IWRIxws77royEa,C,6,0
suiker,R_1IWRIxws77royEa,C,4,1
suiker,R_1IWRIxws77royEa,C,5,1
suiker,R_1IWRIxws77royEa,C,6,0
afbeelding,R_1IWRIxws77royEa,NC,4,1
afbeelding,R_1IWRIxws77royEa,NC,5,1
afbeelding,R_1IWRIxws77royEa,NC,6,1
water,R_1IWRIxws77royEa,NC,4,0
water,R_1IWRIxws77royEa,NC,5,0
water,R_1IWRIxws77royEa,NC,6,0
trein,R_1IWRIxws77royEa,NC,4,1
trein,R_1IWRIxws77royEa,NC,5,1
trein,R_1IWRIxws77royEa,NC,6,0
honing,R_1IWRIxws77royEa,NC,4,1
honing,R_1IWRIxws77royEa,NC,5,1
honing,R_1IWRIxws77royEa,NC,6,0
